point_id,x,y,z
218,-0.000523055,-0.0153389,0.000318494
219,-0.000529055,-0.0153329,0.000318494
220,-0.000523055,-0.0153329,0.000318494
221,-0.000529055,-0.0153389,0.000324494
222,-0.000523055,-0.0153389,0.000324494
223,-0.000529055,-0.0153329,0.000324494
224,-0.000523055,-0.0153329,0.000324494
225,-0.000529055,-0.0153389,0.000324494
226,-0.000523055,-0.0153389,0.000324494
227,-0.000529055,-0.0153329,0.000324494
228,-0.000523055,-0.0153329,0.000324494
229,-0.000529055,-0.0153389,0.00032755
230,-0.000523055,-0.0153389,0.00032755
231,-0.000529055,-0.0153329,0.00032755
232,-0.000523055,-0.0153329,0.00032755
233,-0.000529055,-0.0153329,0.000294494
234,-0.000523055,-0.0153329,0.000294494
235,-0.000529055,-0.0153269,0.000294494
236,-0.000523055,-0.0153269,0.000294494
237,-0.000529055,-0.0153329,0.000300494
238,-0.000523055,-0.0153329,0.000300494
239,-0.000529055,-0.0153269,0.000300494
240,-0.000523055,-0.0153269,0.000300494
241,-0.000529055,-0.0153329,0.000300494
242,-0.000523055,-0.0153329,0.000300494
243,-0.000529055,-0.0153269,0.000300494
244,-0.000523055,-0.0153269,0.000300494
245,-0.000529055,-0.0153329,0.000306494
246,-0.000523055,-0.0153329,0.000306494
247,-0.000529055,-0.0153269,0.000306494
248,-0.000523055,-0.0153269,0.000306494
249,-0.000529055,-0.0153329,0.000306494
250,-0.000523055,-0.0153329,0.000306494
251,-0.000529055,-0.0153269,0.000306494
252,-0.000523055,-0.0153269,0.000306494
253,-0.000529055,-0.0153329,0.000312494
254,-0.000523055,-0.0153329,0.000312494
255,-0.000529055,-0.0153269,0.000312494
256,-0.000523055,-0.0153269,0.000312494
257,-0.000529055,-0.0153329,0.000312494
258,-0.000523055,-0.0153329,0.000312494
259,-0.000529055,-0.0153269,0.000312494
260,-0.000523055,-0.0153269,0.000312494
261,-0.000529055,-0.0153329,0.000318494
262,-0.000523055,-0.0153329,0.000318494
263,-0.000529055,-0.0153269,0.000318494
264,-0.000523055,-0.0153269,0.000318494
265,-0.000529055,-0.0153329,0.000318494
266,-0.000523055,-0.0153329,0.000318494
267,-0.000529055,-0.0153269,0.000318494
268,-0.000523055,-0.0153269,0.000318494
269,-0.000529055,-0.0153329,0.000324494
270,-0.000523055,-0.0153329,0.000324494
271,-0.000529055,-0.0153269,0.000324494
272,-0.000523055,-0.0153269,0.000324494
273,-0.000529055,-0.0153329,0.000324494
274,-0.000523055,-0.0153329,0.000324494
275,-0.000529055,-0.0153269,0.000324494
276,-0.000523055,-0.0153269,0.000324494
277,-0.000529055,-0.0153329,0.00032755
278,-0.000523055,-0.0153329,0.00032755
279,-0.000529055,-0.0153269,0.00032755
280,-0.000523055,-0.0153269,0.00032755
281,-0.000529055,-0.0153269,0.000294494
282,-0.000523055,-0.0153269,0.000294494
283,-0.000529055,-0.0153209,0.000294494
284,-0.000523055,-0.0153209,0.000294494
285,-0.000529055,-0.0153269,0.000300494
286,-0.000523055,-0.0153269,0.000300494
287,-0.000529055,-0.0153209,0.000300494
288,-0.000523055,-0.0153209,0.000300494
289,-0.000529055,-0.0153269,0.000300494
290,-0.000523055,-0.0153269,0.000300494
291,-0.000529055,-0.0153209,0.000300494
292,-0.000523055,-0.0153209,0.000300494
293,-0.000529055,-0.0153269,0.000306494
294,-0.000523055,-0.0153269,0.000306494
295,-0.000529055,-0.0153209,0.000306494
296,-0.000523055,-0.0153209,0.000306494
297,-0.000529055,-0.0153269,0.000306494
298,-0.000523055,-0.0153269,0.000306494
299,-0.000529055,-0.0153209,0.000306494
300,-0.000523055,-0.0153209,0.000306494
301,-0.000529055,-0.0153269,0.000312494
302,-0.000523055,-0.0153269,0.000312494
303,-0.000529055,-0.0153209,0.000312494
304,-0.000523055,-0.0153209,0.000312494
305,-0.000529055,-0.0153269,0.000312494
306,-0.000523055,-0.0153269,0.000312494
307,-0.000529055,-0.0153209,0.000312494
308,-0.000523055,-0.0153209,0.000312494
309,-0.000529055,-0.0153269,0.000318494
310,-0.000523055,-0.0153269,0.000318494
311,-0.000529055,-0.0153209,0.000318494
312,-0.000523055,-0.0153209,0.000318494
313,-0.000529055,-0.0153269,0.000318494
314,-0.000523055,-0.0153269,0.000318494
315,-0.000529055,-0.0153209,0.000318494
316,-0.000523055,-0.0153209,0.000318494
317,-0.000529055,-0.0153269,0.000324494
318,-0.000523055,-0.0153269,0.000324494
319,-0.000529055,-0.0153209,0.000324494
320,-0.000523055,-0.0153209,0.000324494
321,-0.000529055,-0.0153269,0.000324494
322,-0.000523055,-0.0153269,0.000324494
323,-0.000529055,-0.0153209,0.000324494
324,-0.000523055,-0.0153209,0.000324494
325,-0.000529055,-0.0153269,0.00032755
326,-0.000523055,-0.0153269,0.00032755
327,-0.000529055,-0.0153209,0.00032755
328,-0.000523055,-0.0153209,0.00032755
329,-0.000529055,-0.0153209,0.000294494
330,-0.000523055,-0.0153209,0.000294494
331,-0.000529055,-0.0153169,0.000294494
332,-0.000523055,-0.0153169,0.000294494
333,-0.000529055,-0.0153209,0.000300494
334,-0.000523055,-0.0153209,0.000300494
335,-0.000529055,-0.0153169,0.000300494
336,-0.000523055,-0.0153169,0.000300494
337,-0.000529055,-0.0153209,0.000300494
338,-0.000523055,-0.0153209,0.000300494
339,-0.000529055,-0.0153169,0.000300494
340,-0.000523055,-0.0153169,0.000300494
341,-0.000529055,-0.0153209,0.000306494
342,-0.000523055,-0.0153209,0.000306494
343,-0.000529055,-0.0153169,0.000306494
