id,x,y,z,radius,diameter,mass
104,-0.000518848609535193,-0.0153274700506167,0.000299500999966948,1e-06,2e-06,4.18879020478639e-18
105,-0.000524186279679235,-0.0153246510886991,0.000302458393635384,1e-06,2e-06,4.18879020478639e-18
106,-0.000521164838652683,-0.0153390721171578,0.000301314600817272,1e-06,2e-06,4.18879020478639e-18
107,-0.000517240452921686,-0.0153310026409223,0.000300464849195755,1e-06,2e-06,4.18879020478639e-18
108,-0.000530047501277501,-0.0153387502404985,0.000301530030819678,1e-06,2e-06,4.18879020478639e-18
109,-0.000516926333882038,-0.0153394710619724,0.000299503634373224,1e-06,2e-06,4.18879020478639e-18
110,-0.000523011121533675,-0.0153371621161633,0.000295494000000295,1e-06,2e-06,4.18879020478639e-18
111,-0.000526352809638903,-0.0153325865591809,0.000300230073878809,1e-06,2e-06,4.18879020478639e-18
112,-0.000522148003090255,-0.0153345440343925,0.000298614056102169,1e-06,2e-06,4.18879020478639e-18
113,-0.000519968262588026,-0.0153274820805147,0.000301203968136998,1e-06,2e-06,4.18879020478639e-18
114,-0.000526921605493503,-0.015323901896374,0.000302665266890225,1e-06,2e-06,4.18879020478639e-18
115,-0.000525720023614942,-0.0153251918433152,0.000303622530162148,1e-06,2e-06,4.18879020478639e-18
116,-0.000526720127621731,-0.0153374738375454,0.000296495999967031,1e-06,2e-06,4.18879020478639e-18
117,-0.000521304458209623,-0.01534305385576,0.000299961046267412,1e-06,2e-06,4.18879020478639e-18
118,-0.000514907582037052,-0.0153360090221032,0.000298961649608187,1e-06,2e-06,4.18879020478639e-18
119,-0.000524094545299982,-0.0153396431257721,0.000295494000000202,1e-06,2e-06,4.18879020478639e-18
120,-0.000513992525690575,-0.0153331252250467,0.000300729275750612,1e-06,2e-06,4.18879020478639e-18
121,-0.00051576890121753,-0.0153324088630702,0.000300095236845349,1e-06,2e-06,4.18879020478639e-18
122,-0.000521625925054993,-0.0153363696926345,0.00029924253739871,1e-06,2e-06,4.18879020478639e-18
123,-0.000522321951320868,-0.0153412789324867,0.000299999934339774,1e-06,2e-06,4.18879020478639e-18
124,-0.000525468298490241,-0.0153280870275218,0.000300324163156041,1e-06,2e-06,4.18879020478639e-18
125,-0.000521029999966963,-0.015321900171516,0.000300502999967021,1e-06,2e-06,4.18879020478639e-18
126,-0.000524955968195961,-0.0153243041457412,0.000299500999966999,1e-06,2e-06,4.18879020478639e-18
127,-0.00051573962793152,-0.0153306219439884,0.000299197426655128,1e-06,2e-06,4.18879020478639e-18
128,-0.000522526147190139,-0.0153244793500318,0.000301356365588039,1e-06,2e-06,4.18879020478639e-18
129,-0.000515660260506176,-0.0153281668895272,0.000302312892714896,1e-06,2e-06,4.18879020478639e-18
130,-0.000515104747525716,-0.0153258965705097,0.000304785723244092,1e-06,2e-06,4.18879020478639e-18
131,-0.000524079076271463,-0.0153225929049982,0.000300224028874686,1e-06,2e-06,4.18879020478639e-18
132,-0.000521296247212997,-0.0153339906125921,0.000300336913062321,1e-06,2e-06,4.18879020478639e-18
133,-0.000527354257522445,-0.015329188840395,0.000303173294584699,1e-06,2e-06,4.18879020478639e-18
134,-0.000517947787003554,-0.0153294891269893,0.000299309040422643,1e-06,2e-06,4.18879020478639e-18
135,-0.000523938311746345,-0.0153355927121663,0.000298920071311817,1e-06,2e-06,4.18879020478639e-18
136,-0.000523769606476598,-0.0153336804421268,0.000299481107581415,1e-06,2e-06,4.18879020478639e-18
137,-0.000527104233257645,-0.0153377486737911,0.000298439431931064,1e-06,2e-06,4.18879020478639e-18
138,-0.000516242756841216,-0.0153357251528633,0.000297497999967083,1e-06,2e-06,4.18879020478639e-18
139,-0.000519164753578512,-0.0153319000017208,0.00029749799996712,1e-06,2e-06,4.18879020478639e-18
140,-0.000520859090526457,-0.0153256138413057,0.000301786140665527,1e-06,2e-06,4.18879020478639e-18
141,-0.000521722630324082,-0.015321129248178,0.000305473988472666,1e-06,2e-06,4.18879020478639e-18
142,-0.000519060324391972,-0.0153311171730018,0.000299643295726618,1e-06,2e-06,4.18879020478639e-18
143,-0.000520750876902527,-0.0153240971859337,0.000300486459425282,1e-06,2e-06,4.18879020478639e-18
144,-0.000521173861013551,-0.0153406120371794,0.00029755071219548,1e-06,2e-06,4.18879020478639e-18
145,-0.000514456649412919,-0.0153312725295268,0.000301323876654821,1e-06,2e-06,4.18879020478639e-18
146,-0.000522851246305043,-0.0153330491137558,0.000297486820040495,1e-06,2e-06,4.18879020478639e-18
147,-0.000517966690427682,-0.0153232364804193,0.000302866841547435,1e-06,2e-06,4.18879020478639e-18
148,-0.000526998137978516,-0.0153205714193421,0.00030525077842917,1e-06,2e-06,4.18879020478639e-18
149,-0.000520339185937015,-0.0153300101211437,0.000300776110173778,1e-06,2e-06,4.18879020478639e-18
150,-0.000520479872741733,-0.0153310680319533,0.000302523937363449,1e-06,2e-06,4.18879020478639e-18
151,-0.000519349608195014,-0.0153341409524742,0.000301679924410903,1e-06,2e-06,4.18879020478639e-18
152,-0.000526631729354522,-0.0153353101416085,0.000301594541494499,1e-06,2e-06,4.18879020478639e-18
153,-0.000518869404477082,-0.0153245557423917,0.000301260215611053,1e-06,2e-06,4.18879020478639e-18
154,-0.000518542682653496,-0.0153309427722883,0.000302039266735655,1e-06,2e-06,4.18879020478639e-18
155,-0.000525839741185928,-0.0153233034093701,0.000304808013057278,1e-06,2e-06,4.18879020478639e-18
156,-0.00052440237217726,-0.0153362444514562,0.00029661285233834,1e-06,2e-06,4.18879020478639e-18
157,-0.000517324039501653,-0.0153258555247784,0.000301459240698371,1e-06,2e-06,4.18879020478639e-18
158,-0.000517175492483555,-0.0153279070594451,0.000300505839498226,1e-06,2e-06,4.18879020478639e-18
159,-0.00052346000735378,-0.0153203931063062,0.000304810857520054,1e-06,2e-06,4.18879020478639e-18
