point_id,x,y,z
421,-0.000517055,-0.0153429,0.000312494
422,-0.000515055,-0.0153429,0.000312494
423,-0.000517055,-0.0153409,0.000312494
424,-0.000515055,-0.0153409,0.000312494
425,-0.000517055,-0.0153409,0.000312494
426,-0.000515055,-0.0153409,0.000312494
427,-0.000517055,-0.0153389,0.000312494
428,-0.000515055,-0.0153389,0.000312494
429,-0.000517055,-0.0153409,0.000314494
430,-0.000515055,-0.0153409,0.000314494
431,-0.000517055,-0.0153389,0.000314494
432,-0.000515055,-0.0153389,0.000314494
433,-0.000517055,-0.0153409,0.000314494
434,-0.000515055,-0.0153409,0.000314494
435,-0.000517055,-0.0153389,0.000314494
436,-0.000515055,-0.0153389,0.000314494
437,-0.000517055,-0.0153409,0.000316494
438,-0.000515055,-0.0153409,0.000316494
439,-0.000517055,-0.0153389,0.000316494
440,-0.000515055,-0.0153389,0.000316494
441,-0.000517055,-0.0153409,0.000316494
442,-0.000515055,-0.0153409,0.000316494
443,-0.000517055,-0.0153389,0.000316494
444,-0.000515055,-0.0153389,0.000316494
445,-0.000517055,-0.0153409,0.000318494
446,-0.000515055,-0.0153409,0.000318494
447,-0.000517055,-0.0153389,0.000318494
448,-0.000515055,-0.0153389,0.000318494
449,-0.000517055,-0.0153409,0.000318494
450,-0.000515055,-0.0153409,0.000318494
451,-0.000517055,-0.0153389,0.000318494
452,-0.000515055,-0.0153389,0.000318494
453,-0.000517055,-0.0153409,0.000320494
454,-0.000515055,-0.0153409,0.000320494
455,-0.000517055,-0.0153389,0.000320494
456,-0.000515055,-0.0153389,0.000320494
457,-0.000517055,-0.0153409,0.000320494
458,-0.000515055,-0.0153409,0.000320494
459,-0.000517055,-0.0153389,0.000320494
460,-0.000515055,-0.0153389,0.000320494
461,-0.000517055,-0.0153409,0.000322494
462,-0.000515055,-0.0153409,0.000322494
463,-0.000517055,-0.0153389,0.000322494
464,-0.000515055,-0.0153389,0.000322494
465,-0.000517055,-0.0153409,0.000296494
466,-0.000515055,-0.0153409,0.000296494
467,-0.000517055,-0.0153389,0.000296494
468,-0.000515055,-0.0153389,0.000296494
469,-0.000517055,-0.0153409,0.000298494
470,-0.000515055,-0.0153409,0.000298494
471,-0.000517055,-0.0153389,0.000298494
472,-0.000515055,-0.0153389,0.000298494
473,-0.000517055,-0.0153409,0.000298494
474,-0.000515055,-0.0153409,0.000298494
475,-0.000517055,-0.0153389,0.000298494
476,-0.000515055,-0.0153389,0.000298494
477,-0.000517055,-0.0153409,0.000300494
478,-0.000515055,-0.0153409,0.000300494
479,-0.000517055,-0.0153389,0.000300494
480,-0.000515055,-0.0153389,0.000300494
481,-0.000517055,-0.0153409,0.000300494
482,-0.000515055,-0.0153409,0.000300494
483,-0.000517055,-0.0153389,0.000300494
484,-0.000515055,-0.0153389,0.000300494
485,-0.000517055,-0.0153409,0.000302494
486,-0.000515055,-0.0153409,0.000302494
487,-0.000517055,-0.0153389,0.000302494
488,-0.000515055,-0.0153389,0.000302494
489,-0.000517055,-0.0153409,0.000302494
490,-0.000515055,-0.0153409,0.000302494
491,-0.000517055,-0.0153389,0.000302494
492,-0.000515055,-0.0153389,0.000302494
493,-0.000517055,-0.0153409,0.000304494
494,-0.000515055,-0.0153409,0.000304494
495,-0.000517055,-0.0153389,0.000304494
496,-0.000515055,-0.0153389,0.000304494
497,-0.000517055,-0.0153409,0.000310494
498,-0.000515055,-0.0153409,0.000310494
499,-0.000517055,-0.0153389,0.000310494
500,-0.000515055,-0.0153389,0.000310494
501,-0.000517055,-0.0153409,0.000312494
502,-0.000515055,-0.0153409,0.000312494
503,-0.000517055,-0.0153389,0.000312494
504,-0.000515055,-0.0153389,0.000312494
505,-0.000517055,-0.0153389,0.000294494
506,-0.000515055,-0.0153389,0.000294494
507,-0.000517055,-0.0153369,0.000294494
508,-0.000515055,-0.0153369,0.000294494
509,-0.000517055,-0.0153389,0.000296494
510,-0.000515055,-0.0153389,0.000296494
511,-0.000517055,-0.0153369,0.000296494
512,-0.000515055,-0.0153369,0.000296494
513,-0.000517055,-0.0153389,0.000320494
514,-0.000515055,-0.0153389,0.000320494
515,-0.000517055,-0.0153369,0.000320494
516,-0.000515055,-0.0153369,0.000320494
517,-0.000517055,-0.0153389,0.000322494
518,-0.000515055,-0.0153389,0.000322494
519,-0.000517055,-0.0153369,0.000322494
520,-0.000515055,-0.0153369,0.000322494
521,-0.000517055,-0.0153389,0.000322494
522,-0.000515055,-0.0153389,0.000322494
523,-0.000517055,-0.0153369,0.000322494
524,-0.000515055,-0.0153369,0.000322494
525,-0.000517055,-0.0153389,0.000324494
526,-0.000515055,-0.0153389,0.000324494
527,-0.000517055,-0.0153369,0.000324494
528,-0.000515055,-0.0153369,0.000324494
529,-0.000517055,-0.0153389,0.000296494
530,-0.000515055,-0.0153389,0.000296494
531,-0.000517055,-0.0153369,0.000296494
532,-0.000515055,-0.0153369,0.000296494
533,-0.000517055,-0.0153389,0.000298494
534,-0.000515055,-0.0153389,0.000298494
535,-0.000517055,-0.0153369,0.000298494
536,-0.000515055,-0.0153369,0.000298494
537,-0.000517055,-0.0153389,0.000298494
538,-0.000515055,-0.0153389,0.000298494
539,-0.000517055,-0.0153369,0.000298494
540,-0.000515055,-0.0153369,0.000298494
541,-0.000517055,-0.0153389,0.000300494
542,-0.000515055,-0.0153389,0.000300494
543,-0.000517055,-0.0153369,0.000300494
544,-0.000515055,-0.0153369,0.000300494
545,-0.000517055,-0.0153389,0.000300494
546,-0.000515055,-0.0153389,0.000300494
547,-0.000517055,-0.0153369,0.000300494
548,-0.000515055,-0.0153369,0.000300494
549,-0.000517055,-0.0153389,0.000302494
550,-0.000515055,-0.0153389,0.000302494
551,-0.000517055,-0.0153369,0.000302494
552,-0.000515055,-0.0153369,0.000302494
553,-0.000517055,-0.0153369,0.000294494
554,-0.000515055,-0.0153369,0.000294494
555,-0.000517055,-0.0153349,0.000294494
556,-0.000515055,-0.0153349,0.000294494
557,-0.000517055,-0.0153369,0.000296494
558,-0.000515055,-0.0153369,0.000296494
559,-0.000517055,-0.0153349,0.000296494
560,-0.000515055,-0.0153349,0.000296494
561,-0.000517055,-0.0153369,0.000322494
562,-0.000515055,-0.0153369,0.000322494
563,-0.000517055,-0.0153349,0.000322494
